Peptide,HADDOCK Score,Binding Score,Cleavage site,H-bonds
1,-78.9,-242.727,"F9, M10",9
2,-65.5,-199.946,0,4
3,-66.8,-209.261,f9,8
4,-85.6,-240.34,f9,6
5,-75.2,-234.664,f9,5
6,-75.8,-237.512,f9,8
7,-61.3,-227.582,f9,6
8,-83.1,-231.163,f9,9
9,-61.8,-133.978,"f9, m10",5
10,-80,-144.974,"f9, m10",5
11,-69.5,-292.515,f9,10
12,-72.9,-209.001,f9,8
13,-72.3,-182.361,m10,6
14,-76.7,-196.169,f9,13
15,-75.3,-190.018,0,2
16,-74.1,-107.008,"f9, m10",5
17,-67.1,-188.06,M10,6
,,,,
Avg,-73.05294118,-203.9575882,,6.764705882
